['0.00', '54.678505', '25.263138', '75.92', '25.98', '37.22', '984.09', '7637']
['0.00', '54.678505', '25.263138', '75.91', '25.86', '37.11', '983.94', '7639']
['0.00', '54.678505', '25.263138', '75.91', '25.86', '37.11', '983.94', '7640']
['0.00', '54.678505', '25.263138', '75.91', '25.86', '37.11', '983.94', '7641']
['0.00', '54.678505', '25.263138', '75.91', '25.86', '37.11', '983.94', '7643']
['0.00', '54.678505', '25.263138', '75.91', '25.86', '37.11', '983.94', '7644']
['0.00', '54.678505', '25.263138', '75.92', '25.98', '37.23', '984.15', '7646']
['0.00', '54.678505', '25.263138', '75.92', '25.98', '37.23', '984.15', '7647']
['0.00', '54.678505', '25.263138', '75.92', '25.98', '37.23', '984.15', '7648']
['0.00', '54.678505', '25.263138', '75.92', '25.98', '37.23', '984.15', '7650']
['0.00', '54.678505', '25.263138', '75.91', '25.81', '37.22', '983.89', '7651']
['0.00', '54.678505', '25.263138', '75.91', '25.81', '37.22', '983.89', '7653']
['0.00', '54.678505', '25.263138', '75.91', '25.81', '37.22', '983.89', '7654']
['0.00', '54.678505', '25.263138', '75.91', '25.81', '37.22', '983.89', '7656']
['0.00', '54.678505', '25.263138', '75.92', '25.79', '37.20', '983.82', '7657']
['0.00', '54.678505', '25.263138', '75.92', '25.79', '37.20', '983.82', '7659']
['0.00', '54.678505', '25.263138', '75.92', '25.79', '37.20', '983.82', '7660']
['0.00', '54.678505', '25.263138', '75.92', '25.79', '37.20', '983.82', '7662']
['0.00', '54.678505', '25.263138', '75.92', '26.00', '37.23', '984.20', '7663']
['0.00', '54.678505', '25.263138', '75.92', '26.00', '37.23', '984.20', '7665']
['0.00', '54.678505', '25.263138', '75.92', '26.00', '37.23', '984.20', '7666']
['0.00', '54.678505', '25.263138', '75.92', '26.00', '37.23', '984.20', '7667']
['0.00', '54.678505', '25.263138', '75.92', '25.79', '37.23', '983.85', '7669']
['0.00', '54.678505', '25.263138', '75.92', '25.79', '37.23', '983.85', '7670']
['0.00', '54.678505', '25.263138', '75.92', '25.79', '37.23', '983.85', '7672']
['0.00', '54.678505', '25.263138', '75.92', '25.79', '37.23', '983.85', '7673']
['0.00', '54.678505', '25.263138', '75.92', '26.02', '37.22', '984.22', '7675']
['0.00', '54.678505', '25.263138', '75.92', '26.02', '37.22', '984.22', '7676']
['0.00', '54.678505', '25.263138', '75.92', '26.02', '37.22', '984.22', '7678']
['0.00', '54.678505', '25.263138', '75.92', '26.02', '37.22', '984.22', '7679']
['0.00', '54.678505', '25.263138', '75.92', '26.02', '37.22', '984.22', '7680']
['0.00', '54.678505', '25.263138', '75.92', '25.79', '37.23', '983.82', '7682']
['0.00', '54.678505', '25.263138', '75.92', '25.79', '37.23', '983.82', '7683']
['0.00', '54.678505', '25.263138', '75.92', '25.79', '37.23', '983.82', '7685']
['0.00', '54.678505', '25.263138', '75.92', '25.79', '37.23', '983.82', '7686']
['0.00', '54.678505', '25.263138', '75.92', '25.82', '37.26', '983.88', '7688']
['0.00', '54.678505', '25.263138', '75.92', '25.82', '37.26', '983.88', '7689']
['0.00', '54.678505', '25.263138', '75.92', '25.82', '37.26', '983.88', '7691']
['0.00', '54.678505', '25.263138', '75.92', '25.82', '37.26', '983.88', '7692']
['0.00', '54.678505', '25.263138', '75.91', '25.98', '37.23', '984.16', '7694']
['0.00', '54.678505', '25.263138', '75.91', '25.98', '37.23', '984.16', '7695']
['0.00', '54.678505', '25.263138', '75.91', '25.98', '37.23', '984.16', '7697']
['0.00', '54.678505', '25.263138', '75.91', '25.98', '37.23', '984.16', '7698']
['0.00', '54.678505', '25.263138', '75.91', '25.82', '37.22', '983.89', '7700']
['0.00', '54.678505', '25.263138', '75.91', '25.82', '37.22', '983.89', '7701']
['0.00', '54.678505', '25.263138', '75.91', '25.82', '37.22', '983.89', '7702']
['0.00', '54.678505', '25.263138', '75.91', '25.82', '37.22', '983.89', '7704']
['0.00', '54.678505', '25.263138', '75.91', '26.00', '37.22', '984.20', '7705']
['0.00', '54.678505', '25.263138', '75.91', '26.00', '37.22', '984.20', '7707']
['0.00', '54.678505', '25.263138', '75.91', '26.00', '37.22', '984.20', '7708']
['0.00', '54.678505', '25.263138', '75.91', '26.00', '37.22', '984.20', '7710']
['0.00', '54.678505', '25.263138', '75.91', '25.90', '37.23', '983.97', '7711']
['0.00', '54.678505', '25.263138', '75.91', '25.90', '37.23', '983.97', '7712']
['0.00', '54.678505', '25.263138', '75.91', '25.90', '37.23', '983.97', '7714']
