['5.31', '54.678322', '25.263166', '-27.39', '26.51', '34.70', '991.97', '37021']
['5.31', '54.678322', '25.263166', '-27.39', '26.51', '34.70', '991.97', '37021']
['5.31', '54.678318', '25.263166', '-27.39', '26.46', '34.75', '991.89', '37022']
['5.31', '54.678318', '25.263166', '-27.39', '26.46', '34.75', '991.89', '37022']
['5.31', '54.678318', '25.263166', '-27.39', '26.46', '34.75', '991.89', '37023']
['5.31', '54.678318', '25.263166', '-27.39', '26.46', '34.75', '991.89', '37024']
['5.31', '54.678318', '25.263166', '-27.39', '26.46', '34.75', '991.89', '37024']
['5.31', '54.678318', '25.263166', '-27.39', '26.56', '34.69', '992.02', '37025']
['5.31', '54.678318', '25.263166', '-27.39', '26.56', '34.69', '992.02', '37026']
['5.31', '54.678318', '25.263166', '-27.39', '26.56', '34.69', '992.02', '37026']
['5.31', '54.678318', '25.263166', '-27.39', '26.11', '34.70', '991.33', '37027']
['5.31', '54.678318', '25.263166', '-27.39', '26.11', '34.70', '991.33', '37027']
['5.31', '54.678318', '25.263166', '-27.39', '26.11', '34.70', '991.33', '37028']
['5.31', '54.678314', '25.263165', '-27.39', '26.11', '34.70', '991.33', '37029']
['5.31', '54.678314', '25.263165', '-27.39', '26.11', '34.70', '991.33', '37029']
['5.31', '54.678314', '25.263165', '-27.39', '26.51', '34.69', '992.03', '37030']
['5.31', '54.678314', '25.263166', '-27.39', '26.51', '34.69', '992.03', '37031']
['5.31', '54.678314', '25.263166', '-27.39', '26.51', '34.69', '992.03', '37031']
['5.31', '54.678314', '25.263166', '-27.39', '26.51', '34.69', '992.03', '37032']
['5.31', '54.678314', '25.263165', '-27.39', '26.51', '34.70', '991.95', '37033']
['5.31', '54.678314', '25.263165', '-27.39', '26.51', '34.70', '991.95', '37033']
['5.31', '54.678314', '25.263165', '-27.39', '26.51', '34.70', '991.95', '37034']
['5.31', '54.678314', '25.263165', '-27.39', '26.51', '34.70', '991.95', '37034']
['5.31', '54.678314', '25.263165', '-27.37', '26.51', '34.76', '991.95', '37035']
['5.31', '54.678314', '25.263165', '-27.37', '26.51', '34.76', '991.95', '37036']
['5.31', '54.678314', '25.263165', '-27.37', '26.51', '34.76', '991.95', '37036']
['5.31', '54.678310', '25.263166', '-27.37', '26.51', '34.76', '991.95', '37037']
['5.31', '54.678310', '25.263166', '-27.39', '26.56', '34.69', '992.00', '37038']
['5.31', '54.678310', '25.263166', '-27.39', '26.56', '34.69', '992.00', '37038']
['5.31', '54.678310', '25.263165', '-27.39', '26.56', '34.69', '992.00', '37039']
['5.31', '54.678310', '25.263165', '-27.39', '26.56', '34.69', '992.00', '37039']
['5.31', '54.678307', '25.263163', '-27.39', '26.15', '34.71', '991.43', '37040']
['5.31', '54.678307', '25.263163', '-27.39', '26.15', '34.71', '991.43', '37041']
['5.31', '54.678307', '25.263163', '-27.39', '26.15', '34.71', '991.43', '37041']
['5.31', '54.678307', '25.263165', '-27.39', '26.15', '34.71', '991.43', '37042']
['5.31', '54.678307', '25.263165', '-27.39', '26.50', '34.70', '992.01', '37043']
['5.31', '54.678307', '25.263165', '-27.39', '26.50', '34.70', '992.01', '37043']
['5.31', '54.678307', '25.263163', '-27.39', '26.50', '34.70', '992.01', '37044']
['5.31', '54.678307', '25.263163', '-27.39', '26.50', '34.70', '992.01', '37045']
['5.31', '54.678307', '25.263163', '-27.39', '26.50', '34.70', '992.01', '37045']
['5.31', '54.678307', '25.263163', '-27.39', '26.46', '34.71', '991.85', '37046']
['5.31', '54.678307', '25.263163', '-27.39', '26.46', '34.71', '991.85', '37046']
['5.31', '54.678307', '25.263163', '-27.39', '26.46', '34.71', '991.85', '37047']
