['0.00', '0.000000', '0.000000', '-62.35', '4.80', '2.01', '25.49', '40.33', '993.94', '641']
['0.00', '0.000000', '0.000000', '-62.35', '4.80', '2.01', '25.49', '40.33', '993.94', '642']
['0.00', '0.000000', '0.000000', '-62.35', '4.80', '2.01', '25.49', '40.33', '993.94', '642']
['0.00', '0.000000', '0.000000', '-62.35', '4.80', '2.01', '25.49', '40.33', '993.94', '642']
['0.00', '0.000000', '0.000000', '-64.48', '3.86', '1.93', '25.31', '40.25', '993.67', '643']
['0.00', '0.000000', '0.000000', '-64.48', '3.86', '1.93', '25.31', '40.25', '993.67', '643']
['0.00', '0.000000', '0.000000', '-64.48', '3.86', '1.93', '25.31', '40.25', '993.67', '643']
['0.00', '0.000000', '0.000000', '-64.48', '3.86', '1.93', '25.31', '40.25', '993.67', '644']
['0.00', '0.000000', '0.000000', '-64.48', '3.86', '1.93', '25.31', '40.25', '993.67', '644']
['0.00', '0.000000', '0.000000', '-64.48', '3.86', '1.93', '25.31', '40.25', '993.67', '644']
['0.00', '0.000000', '0.000000', '-64.48', '3.86', '1.93', '25.31', '40.25', '993.67', '645']
['0.00', '0.000000', '0.000000', '-64.48', '3.86', '1.93', '25.31', '40.25', '993.67', '645']
['0.00', '0.000000', '0.000000', '-64.48', '3.86', '1.93', '25.31', '40.25', '993.67', '645']
['0.00', '0.000000', '0.000000', '-64.40', '3.95', '1.91', '25.49', '40.19', '993.93', '646']
['0.00', '0.000000', '0.000000', '-64.40', '3.95', '1.91', '25.49', '40.19', '993.93', '646']
['0.00', '0.000000', '0.000000', '-64.40', '3.95', '1.91', '25.49', '40.19', '993.93', '646']
['0.00', '0.000000', '0.000000', '-64.40', '3.95', '1.91', '25.49', '40.19', '993.93', '647']
['0.00', '0.000000', '0.000000', '-64.40', '3.95', '1.91', '25.49', '40.19', '993.93', '647']
['0.00', '0.000000', '0.000000', '-64.40', '3.95', '1.91', '25.49', '40.19', '993.93', '647']
['0.00', '0.000000', '0.000000', '-64.40', '3.95', '1.91', '25.49', '40.19', '993.93', '647']
['0.00', '0.000000', '0.000000', '-64.32', '4.10', '1.85', '25.46', '39.98', '993.87', '648']
['0.00', '0.000000', '0.000000', '-64.32', '4.10', '1.85', '25.46', '39.98', '993.87', '648']
['0.00', '0.000000', '0.000000', '-64.32', '4.10', '1.85', '25.46', '39.98', '993.87', '648']
['0.00', '0.000000', '0.000000', '-64.32', '4.10', '1.85', '25.46', '39.98', '993.87', '649']
['0.00', '0.000000', '0.000000', '-64.32', '4.10', '1.85', '25.46', '39.98', '993.87', '649']
['0.00', '0.000000', '0.000000', '-64.32', '4.10', '1.85', '25.46', '39.98', '993.87', '649']
['0.00', '0.000000', '0.000000', '-64.32', '4.10', '1.85', '25.46', '39.98', '993.87', '650']
['0.00', '0.000000', '0.000000', '-64.32', '4.10', '1.85', '25.46', '39.98', '993.87', '650']
['0.00', '0.000000', '0.000000', '-64.32', '4.10', '1.85', '25.46', '39.98', '993.87', '650']
['0.00', '0.000000', '0.000000', '-64.26', '4.09', '1.93', '25.50', '40.08', '994.00', '651']
['0.00', '0.000000', '0.000000', '-64.26', '4.09', '1.93', '25.50', '40.08', '994.00', '651']
['0.00', '0.000000', '0.000000', '-64.26', '4.09', '1.93', '25.50', '40.08', '994.00', '651']
['0.00', '0.000000', '0.000000', '-64.26', '4.09', '1.93', '25.50', '40.08', '994.00', '652']
['0.00', '0.000000', '0.000000', '-64.26', '4.09', '1.93', '25.50', '40.08', '994.00', '652']
['0.00', '0.000000', '0.000000', '-64.26', '4.09', '1.93', '25.50', '40.08', '994.00', '652']
['0.00', '0.000000', '0.000000', '-64.26', '4.09', '1.93', '25.50', '40.08', '994.00', '653']
['0.00', '0.000000', '0.000000', '-64.26', '4.09', '1.93', '25.50', '40.08', '994.00', '653']
['0.00', '0.000000', '0.000000', '-64.26', '4.09', '1.93', '25.50', '40.08', '994.00', '653']
['0.00', '0.000000', '0.000000', '-64.17', '4.12', '1.99', '25.43', '40.05', '993.86', '654']
