['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2711']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2711']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2711']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2711']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2711']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2712']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2712']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2712']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2712']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2712']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2712']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2712']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2712']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2712']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2712']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2712']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2712']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2712']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2713']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2713']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2713']
