['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1342']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1342']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1342']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1342']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1342']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1342']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1342']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1342']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1342']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1342']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1342']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1342']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1342']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1342']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1343']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1343']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1343']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1343']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1343']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1343']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1343']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1343']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1343']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1343']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1343']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1343']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1343']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1343']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1343']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1344']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1344']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1344']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1344']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1344']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1344']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1344']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1344']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1344']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1344']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1344']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1344']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1344']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.18', '999.58', '1344']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1345']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1345']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1345']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1345']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1345']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1345']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1345']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1345']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1345']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1345']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1345']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1345']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1345']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1345']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1346']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1346']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1346']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1346']
