['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2405']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2405']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2405']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2405']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2405']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2405']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2406']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2406']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2406']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2406']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2406']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2406']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2406']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2406']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2406']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2406']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2406']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2406']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.26', '28.30', '1003.01', '141.46', '2406']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.59', '28.31', '1003.59', '136.59', '2407']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.59', '28.31', '1003.59', '136.59', '2407']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.59', '28.31', '1003.59', '136.59', '2407']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.59', '28.31', '1003.59', '136.59', '2407']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.59', '28.31', '1003.59', '136.59', '2407']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.59', '28.31', '1003.59', '136.59', '2407']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.59', '28.31', '1003.59', '136.59', '2407']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.59', '28.31', '1003.59', '136.59', '2407']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.59', '28.31', '1003.59', '136.59', '2407']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.59', '28.31', '1003.59', '136.59', '2407']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.59', '28.31', '1003.59', '136.59', '2407']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.59', '28.31', '1003.59', '136.59', '2407']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.59', '28.31', '1003.59', '136.59', '2408']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.59', '28.31', '1003.59', '136.59', '2408']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.59', '28.31', '1003.59', '136.59', '2408']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.59', '28.31', '1003.59', '136.59', '2408']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.59', '28.31', '1003.59', '136.59', '2408']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.59', '28.31', '1003.59', '136.59', '2408']
