['0.00', '54.678051', '25.263473', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678051', '25.263473', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678051', '25.263473', '41.31', '-16.49', '66.27', '30.22', '27.21', '996.55', '228.61', '4.55', '0.00', '0.00']
['0.00', '54.678048', '25.263475', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.53', '228.80', '4.75', '0.00', '0.00']
['0.00', '54.678048', '25.263475', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.53', '228.80', '4.75', '0.00', '0.00']
['0.00', '54.678048', '25.263475', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.53', '228.80', '4.75', '0.00', '0.00']
['0.00', '54.678048', '25.263475', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.53', '228.80', '4.75', '0.00', '0.00']
['0.00', '54.678048', '25.263475', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.53', '228.80', '4.75', '0.00', '0.00']
['0.00', '54.678048', '25.263475', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.53', '228.80', '4.75', '0.00', '0.00']
['0.00', '54.678048', '25.263475', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.53', '228.80', '4.75', '0.00', '0.00']
['0.00', '54.678048', '25.263475', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.53', '228.80', '4.75', '0.00', '0.00']
['0.00', '54.678048', '25.263475', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.53', '228.80', '4.75', '0.00', '0.00']
['0.00', '54.678048', '25.263475', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.53', '228.80', '4.75', '0.00', '0.00']
['0.00', '54.678048', '25.263475', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.53', '228.80', '4.75', '0.00', '0.00']
['0.00', '54.678048', '25.263475', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.53', '228.80', '4.75', '0.00', '0.00']
['0.00', '54.678048', '25.263475', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.53', '228.80', '4.75', '0.00', '0.00']
['0.00', '54.678045', '25.263478', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.53', '228.80', '4.75', '0.00', '0.00']
['0.00', '54.678045', '25.263478', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.53', '228.80', '4.75', '0.00', '0.00']
['0.00', '54.678045', '25.263478', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.53', '228.80', '4.75', '0.00', '0.00']
['0.00', '54.678045', '25.263478', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.53', '228.80', '4.75', '0.00', '0.00']
['0.00', '54.678045', '25.263478', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.53', '228.80', '4.75', '0.00', '0.00']
['0.00', '54.678045', '25.263478', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.53', '228.80', '4.75', '0.00', '0.00']
['0.00', '54.678045', '25.263478', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.53', '228.80', '4.75', '0.00', '0.00']
['0.00', '54.678045', '25.263478', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.53', '228.80', '4.75', '0.00', '0.00']
['0.00', '54.678045', '25.263478', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.53', '228.80', '4.75', '0.00', '0.00']
['0.00', '54.678045', '25.263478', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.53', '228.80', '4.75', '0.00', '0.00']
['0.00', '54.678045', '25.263478', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.53', '228.80', '4.75', '0.00', '0.00']
['0.00', '54.678045', '25.263478', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.53', '228.80', '4.75', '0.00', '0.00']
['0.00', '54.678045', '25.263478', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.53', '228.80', '4.75', '0.00', '0.00']
['0.00', '54.678041', '25.263480', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678041', '25.263480', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678041', '25.263480', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678041', '25.263480', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678041', '25.263480', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678041', '25.263480', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678041', '25.263480', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678041', '25.263480', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678041', '25.263480', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
