['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7394']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7394']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7394']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7394']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7394']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7394']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7394']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7394']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7394']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7394']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7394']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7394']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7395']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7395']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7395']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7395']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7395']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7395']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7395']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7395']
