['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14740']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14740']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14740']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14740']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14740']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14740']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14740']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14740']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14740']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14740']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14740']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14740']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14740']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14740']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14741']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14741']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14741']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14741']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14741']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14741']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14741']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14741']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14741']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14741']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14741']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14741']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14741']
['0.00', '0.000000', '0.000000', '-27.98', '13.64', '2.77', '27.70', '30.98', '999.44', '14741']
