['7.97', '54.677975', '25.263493', '-40.39', '76.48', '-16.93', '26.62', '34.31', '992.16', '2974']
['7.97', '54.677994', '25.263531', '-40.45', '76.48', '-16.91', '26.61', '34.46', '992.22', '3100']
['7.97', '54.677994', '25.263531', '-40.45', '76.48', '-16.91', '26.61', '34.46', '992.22', '3100']
['7.97', '54.677994', '25.263531', '-40.45', '76.48', '-16.91', '26.61', '34.46', '992.22', '3101']
['7.97', '54.677994', '25.263531', '-40.45', '76.48', '-16.91', '26.61', '34.46', '992.22', '3102']
['7.97', '54.677994', '25.263531', '-40.45', '76.48', '-16.91', '26.61', '34.46', '992.22', '3102']
['7.97', '54.677994', '25.263531', '-40.45', '76.48', '-16.91', '26.66', '34.45', '992.26', '3103']
['7.97', '54.677994', '25.263531', '-40.45', '76.48', '-16.91', '26.66', '34.45', '992.26', '3103']
['7.97', '54.677994', '25.263531', '-40.45', '76.48', '-16.91', '26.66', '34.45', '992.26', '3104']
['7.97', '54.677994', '25.263531', '-40.45', '76.48', '-16.91', '26.53', '34.44', '992.01', '3105']
['7.97', '54.677994', '25.263531', '-40.45', '76.48', '-16.91', '26.53', '34.44', '992.01', '3105']
['7.97', '54.677994', '25.263531', '-40.45', '76.48', '-16.91', '26.53', '34.44', '992.01', '3106']
['7.97', '54.677994', '25.263531', '-40.45', '76.48', '-16.91', '26.53', '34.44', '992.01', '3107']
['7.97', '54.677994', '25.263531', '-40.45', '76.48', '-16.91', '26.53', '34.44', '992.01', '3107']
['7.97', '54.677994', '25.263531', '-40.45', '76.48', '-16.91', '26.62', '34.46', '992.14', '3108']
['7.97', '54.677994', '25.263533', '-40.45', '76.48', '-16.91', '26.62', '34.46', '992.14', '3109']
['7.97', '54.677994', '25.263533', '-40.45', '76.48', '-16.91', '26.62', '34.46', '992.14', '3109']
['7.97', '54.677994', '25.263533', '-40.45', '76.48', '-16.91', '26.66', '34.44', '992.20', '3110']
['7.97', '54.677994', '25.263533', '-40.45', '76.48', '-16.91', '26.66', '34.44', '992.20', '3110']
['7.97', '54.677994', '25.263533', '-40.45', '76.48', '-16.91', '26.66', '34.44', '992.20', '3111']
['7.97', '54.677994', '25.263533', '-40.45', '76.48', '-16.91', '26.66', '34.44', '992.20', '3112']
['7.97', '54.677994', '25.263533', '-40.45', '76.48', '-16.91', '26.66', '34.44', '992.20', '3112']
['7.97', '54.677994', '25.263531', '-40.45', '76.48', '-16.91', '26.66', '34.46', '992.21', '3113']
['7.97', '54.677994', '25.263531', '-40.45', '76.48', '-16.91', '26.66', '34.46', '992.21', '3114']
['7.97', '54.677994', '25.263531', '-40.45', '76.48', '-16.91', '26.66', '34.46', '992.21', '3114']
['7.97', '54.677994', '25.263531', '-40.45', '76.48', '-16.91', '26.66', '34.46', '992.21', '3115']
['7.97', '54.677994', '25.263531', '-40.45', '76.48', '-16.91', '26.66', '34.46', '992.21', '3115']
['7.97', '54.677994', '25.263531', '-40.45', '76.48', '-16.91', '26.17', '34.48', '991.45', '3116']
['7.97', '54.677998', '25.263531', '-40.45', '76.48', '-16.91', '26.17', '34.48', '991.45', '3117']
['7.97', '54.677998', '25.263531', '-40.45', '76.48', '-16.91', '26.17', '34.48', '991.45', '3117']
['7.97', '54.677998', '25.263529', '-40.45', '76.48', '-16.91', '26.22', '34.48', '991.56', '3118']
['7.97', '54.677998', '25.263529', '-40.45', '76.48', '-16.91', '26.22', '34.48', '991.56', '3119']
['7.97', '54.677998', '25.263529', '-40.45', '76.48', '-16.91', '26.22', '34.48', '991.56', '3119']
['7.97', '54.677998', '25.263529', '-40.45', '76.48', '-16.91', '26.22', '34.48', '991.56', '3120']
['7.97', '54.677998', '25.263529', '-40.45', '76.48', '-16.91', '26.66', '34.46', '992.20', '3121']
['7.97', '54.677998', '25.263529', '-40.45', '76.48', '-16.91', '26.66', '34.46', '992.20', '3121']
['7.97', '54.677998', '25.263529', '-40.45', '76.48', '-16.91', '26.66', '34.46', '992.20', '3122']
['7.97', '54.677998', '25.263529', '-40.45', '76.48', '-16.91', '26.62', '34.49', '992.15', '3123']
['7.97', '54.677998', '25.263529', '-40.45', '76.48', '-16.91', '26.62', '34.49', '992.15', '3123']
['7.97', '54.677998', '25.263529', '-40.45', '76.48', '-16.91', '26.62', '34.49', '992.15', '3124']
['7.97', '54.677998', '25.263529', '-40.45', '76.48', '-16.91', '26.62', '34.49', '992.15', '3125']
['7.97', '54.677998', '25.263529', '-40.45', '76.48', '-16.91', '26.62', '34.49', '992.15', '3125']
['7.97', '54.677998', '25.263529', '-40.45', '76.48', '-16.91', '26.66', '34.48', '992.20', '3126']
['7.97', '54.677998', '25.263529', '-40.45', '76.48', '-16.91', '26.66', '34.48', '992.20', '3126']
['7.97', '54.678001', '25.263525', '-40.45', '76.48', '-16.91', '26.66', '34.48', '992.20', '3127']
['7.97', '54.678001', '25.263525', '-40.45', '76.48', '-16.91', '26.66', '34.48', '992.20', '3128']
['7.97', '54.678001', '25.263525', '-40.45', '76.48', '-16.91', '26.66', '34.48', '992.20', '3128']
['7.97', '54.678001', '25.263525', '-40.45', '76.48', '-16.91', '26.17', '34.48', '991.47', '3129']
['7.97', '54.678001', '25.263525', '-40.45', '76.48', '-16.91', '26.17', '34.48', '991.47', '3130']
['7.97', '54.678001', '25.263525', '-40.45', '76.48', '-16.91', '26.17', '34.48', '991.47', '3130']
['7.97', '54.678001', '25.263523', '-40.45', '76.48', '-16.91', '26.22', '34.50', '991.57', '3131']
['7.97', '54.678001', '25.263523', '-40.45', '76.48', '-16.91', '26.22', '34.50', '991.57', '3132']
['7.97', '54.678001', '25.263523', '-40.45', '76.48', '-16.91', '26.22', '34.50', '991.57', '3132']
['7.97', '54.678001', '25.263523', '-40.45', '76.48', '-16.91', '26.22', '34.50', '991.57', '3133']
['7.97', '54.678001', '25.263523', '-40.45', '76.48', '-16.91', '26.22', '34.50', '991.57', '3133']
['7.97', '54.678001', '25.263523', '-40.45', '76.48', '-16.91', '26.66', '34.49', '992.19', '3134']
['7.97', '54.678001', '25.263523', '-40.45', '76.48', '-16.91', '26.66', '34.49', '992.19', '3135']
['7.97', '54.678001', '25.263521', '-40.45', '76.48', '-16.91', '26.66', '34.43', '992.23', '3136']
['7.97', '54.678001', '25.263521', '-40.45', '76.48', '-16.91', '26.66', '34.43', '992.23', '3136']
