['0.00', '0.000000', '0.000000', '148.15', '-10.29', '-8.21', '29.19', '44.01', '993.88', '4941']
['0.00', '0.000000', '0.000000', '147.07', '-7.81', '-7.47', '28.72', '43.39', '993.22', '4942']
['0.00', '0.000000', '0.000000', '147.07', '-7.81', '-7.47', '28.72', '43.39', '993.22', '4942']
['0.00', '0.000000', '0.000000', '147.07', '-7.81', '-7.47', '28.72', '43.39', '993.22', '4942']
['0.00', '0.000000', '0.000000', '147.07', '-7.81', '-7.47', '28.72', '43.39', '993.22', '4942']
['0.00', '0.000000', '0.000000', '147.07', '-7.81', '-7.47', '28.72', '43.39', '993.22', '4943']
['0.00', '0.000000', '0.000000', '147.07', '-7.81', '-7.47', '28.72', '43.39', '993.22', '4943']
['0.00', '0.000000', '0.000000', '147.07', '-7.81', '-7.47', '28.72', '43.39', '993.22', '4943']
['0.00', '0.000000', '0.000000', '147.07', '-7.81', '-7.47', '28.72', '43.39', '993.22', '4944']
['0.00', '0.000000', '0.000000', '147.07', '-7.81', '-7.47', '28.72', '43.39', '993.22', '4944']
['0.00', '0.000000', '0.000000', '147.07', '-7.81', '-7.47', '28.72', '43.39', '993.22', '4944']
['0.00', '0.000000', '0.000000', '146.93', '-6.28', '-7.20', '29.12', '42.87', '993.83', '4945']
['0.00', '0.000000', '0.000000', '146.93', '-6.28', '-7.20', '29.12', '42.87', '993.83', '4945']
['0.00', '0.000000', '0.000000', '146.93', '-6.28', '-7.20', '29.12', '42.87', '993.83', '4945']
['0.00', '0.000000', '0.000000', '146.93', '-6.28', '-7.20', '29.12', '42.87', '993.83', '4946']
['0.00', '0.000000', '0.000000', '146.93', '-6.28', '-7.20', '29.12', '42.87', '993.83', '4946']
['0.00', '0.000000', '0.000000', '146.93', '-6.28', '-7.20', '29.12', '42.87', '993.83', '4946']
['0.00', '0.000000', '0.000000', '145.98', '-5.86', '-7.30', '29.12', '42.14', '993.81', '4947']
['0.00', '0.000000', '0.000000', '145.98', '-5.86', '-7.30', '29.12', '42.14', '993.81', '4947']
['0.00', '0.000000', '0.000000', '145.98', '-5.86', '-7.30', '29.12', '42.14', '993.81', '4947']
['0.00', '0.000000', '0.000000', '145.98', '-5.86', '-7.30', '29.12', '42.14', '993.81', '4948']
['0.00', '0.000000', '0.000000', '145.98', '-5.86', '-7.30', '29.12', '42.14', '993.81', '4948']
['0.00', '0.000000', '0.000000', '145.98', '-5.86', '-7.30', '29.12', '42.14', '993.81', '4948']
['0.00', '0.000000', '0.000000', '145.98', '-5.86', '-7.30', '29.12', '42.14', '993.81', '4949']
['0.00', '0.000000', '0.000000', '145.98', '-5.86', '-7.30', '29.12', '42.14', '993.81', '4949']
['0.00', '0.000000', '0.000000', '145.98', '-5.86', '-7.30', '29.12', '42.14', '993.81', '4949']
['0.00', '0.000000', '0.000000', '146.54', '-2.53', '-5.73', '29.16', '41.29', '993.91', '4950']
['0.00', '0.000000', '0.000000', '146.54', '-2.53', '-5.73', '29.16', '41.29', '993.91', '4950']
['0.00', '0.000000', '0.000000', '146.54', '-2.53', '-5.73', '29.16', '41.29', '993.91', '4950']
['0.00', '0.000000', '0.000000', '146.54', '-2.53', '-5.73', '29.16', '41.29', '993.91', '4951']
['0.00', '0.000000', '0.000000', '146.54', '-2.53', '-5.73', '29.16', '41.29', '993.91', '4951']
